GENE,SCORE,Mutation,Expression hub,Regulator,Genomic abnormalities (CNV),meEthylation,#SIGPVALS
C11orf82,0.416219,0,0,0,0,0.0296438,1
GOLT1B,0.416204,0,0,0,0,0.0296468,4
RECQL,0.416204,0,0,0,0,0.0296468,0
RCAN3,0.416195,0,0,0,0,0.0296486,0
LIN7C,0.416146,0,0,0,0,0.0296587,0
RASA1,0.416087,0,0,0,0,0.0296707,2
TMEM189,0.416058,0,0,0,0,0.0296767,24
PHIP,0.416043,0.832683,0,0,0,0.0153602,3
METTL7B,0.415982,0,0,0,0,0.0296922,0
SYNJ2BP,0.415962,0,0,0,0,0.0296964,0
ARL13B,0.415959,0,0,0,0,0.029697,0
ACTR5,0.415958,0,0,0,0,0.0296971,3
FBXO15,0.415945,0,0,0,0,0.0296998,1
STX5,0.415933,0,0,0,0,0.0297022,0
SLC40A1,0.415927,0,0,0,0,0.0297036,25
CDKN3,0.415891,0,0,0,0,0.029711,0
ATP6V0A1,0.415886,0,0,0,0,0.0297119,2
CHD1L,0.415885,0,0,0,0,0.0297121,20
CCDC127,0.41586,0,0,0,0,0.0297173,0
PPP2CB,0.415676,0,0,0,1,0.0323404,0
RPS19,0.415652,0,0,0,1,0.0323454,3
C9orf43,0.415543,0.946922,0,0,0,0.0134978,30
SYPL1,0.415525,0,0,0,1,0.0323712,1
AP1S3,0.415518,0,0,0,0,0.029787,0
STARD3,0.415516,0,0,0,0,0.0297875,2
PLCB1,0.415466,0,0,0,0,0.0297977,0
GNAI1,0.415364,0,0,0,1,0.0324042,0
WASF1,0.415339,0,0,0,0,0.0298238,0
LYRM5,0.415259,1.73518,0,0,0,0,4
JAM3,0.415232,0,0,0,0,0.0298455,0
MYH9,0.415199,0,0,0,0,0.0298521,1
NOL12,0.415191,0,0,0,0,0.0298539,1
TMEM106A,0.415119,0,0,0,0,0.0298685,1
PHYH,0.415056,0,0,0,0,0.0298816,0
MYH10,0.414931,0,0,0,0,0.0299071,0
CETN3,0.414749,0,0,0,0,0.0299444,0
DBT,0.414621,0,0,0,0,0.0299704,27
NARFL,0.414553,0,0,0,0,0.0299844,0
ERGIC1,0.414476,0,0,0,0,0.03,6
PIGY,0.414472,0,0,0,0,0.0300009,21
TOB2,0.414445,0,0,0,0,0.0300062,1
SOX21,0.414413,0,0,1,0,0.0885287,1
STXBP5,0.414375,0,0,0,0,0.0300208,3
TOR3A,0.414331,0,0,0,0,0.0300297,4
PPP1R15A,0.414247,0,0,0,1,0.0326324,9
TMEM170A,0.414227,0,0,0,0,0.0300509,1
SLC35B1,0.414198,0,0,0,0,0.0300568,14
ATPIF1,0.414121,0,0,0,0,0.0300727,0
AKAP9,0.414094,0,0,0,1,0.0326638,3
ANGEL2,0.414087,0,0,0,0,0.0300795,16
HACE1,0.414043,0,0,0,0,0.0300884,2
TMCC2,0.413897,0,0,0,0,0.0301183,0
SSB,0.413741,0,0,0,0,0.0301503,0
PCYT1A,0.413716,0,0,0,0,0.0301554,9
AKR1B1,0.413711,0,0,0,1,0.0327423,0
NDST3,0.413604,0,0,0,0,0.0301783,0
RBM34,0.413559,0,0,0,0,0.0301877,14
8-Mar,0.413548,0,0,0,0,0.0301898,1
EXOC7,0.413545,0,0,0,0,0.0301905,0
WDR36,0.413533,0,0,0,0,0.0301927,0
BCAP29,0.413526,0,0,0,1,0.0327798,0
TOR1A,0.413487,0,0,0,0,0.0302022,5
IARS2,0.413413,0,0,0,0,0.0302174,0
SLC16A10,0.413397,0,0,0,0,0.0302206,9
MN1,0.413376,0,0,0,0,0.030225,0
GRWD1,0.413326,0.978811,0,0,1,0.0159881,0
TMEM70,0.413324,0,0,0,1,0.032821,1
TMEM33,0.413258,0,0,0,0,0.0302489,1
ACBD3,0.413223,0,0,0,0,0.0302562,13
BET1,0.413187,0,0,0,1,0.0328493,1
UBE2G1,0.413135,0,0,0,0,0.0302744,3
C17orf80,0.413049,0,0,0,0,0.0302919,2
FAM104A,0.413049,0,0,0,0,0.0302919,4
EXPH5,0.412987,0,0,0,0,0.0303045,1
PSMC3IP,0.412865,0,0,0,0,0.0303295,0
ACP6,0.412715,0,0,0,0,0.0303603,35
RPUSD4,0.412651,0,0,0,0,0.0303732,26
RBM6,0.41264,0,0,0,0,0.0303753,0
SLC37A2,0.412582,1.767,0,0,0,0,27
MNX1,0.412535,0,0,1,1,0.0914983,0
SEC24C,0.412471,0,0,0,0,0.0304098,1
SHROOM2,0.412367,1.76955,0,0,0,0,1
IMPDH1,0.412365,0,0,0,1,0.0330171,7
SDC1,0.412317,0,0,0,0,0.0304414,0
UBE2R2,0.412243,0.928118,0,0,0,0.0144955,0
SLC25A46,0.412195,0,0,0,0,0.0304664,0
ST7L,0.412162,0,0,0,0,0.030473,0
OSBPL2,0.412144,0,0,0,0,0.0304767,0
HDLBP,0.412119,0,0,0,0,0.0304819,0
2-Sep,0.412119,0,0,0,0,0.0304819,0
NAA40,0.411988,0,0,0,0,0.0305086,0
GMPPB,0.411964,0,0,0,0,0.0305134,3
GDPD1,0.411866,0,0,0,0,0.0305335,3
CASC4,0.411851,0,0,0,0,0.0305367,0
GOLGA4,0.411844,0,0,0,0,0.0305381,0
MSI2,0.411813,0,0,0,0,0.0305444,24
LPPR2,0.411782,0,0,0,0,0.0305507,3
MANBAL,0.411595,0,0,0,0,0.030589,0
RAPGEF3,0.411485,0,0,0,0,0.0306113,1
ACOT8,0.411449,0,0,0,0,0.0306188,0
MXRA7,0.411414,0,0,0,0,0.030626,0
C11orf73,0.411331,0,0,0,0,0.0306428,13
BFAR,0.411315,0,0,0,0,0.0306461,22
ATP8B2,0.41131,0,0,0,0,0.0306473,7
SHMT2,0.411202,0,0,0,0,0.0306692,9
STT3A,0.411129,0,0,0,0,0.0306843,0
CDC23,0.410966,0,0,0,0,0.0307176,0
TNFSF9,0.410928,0,0,0,1,0.033311,1
GOLPH3L,0.410786,0,0,0,0,0.0307544,15
USP32,0.410773,0,0,0,0,0.030757,0
PLIN2,0.410768,0,0,0,0,0.030758,12
LTA4H,0.410726,0.89279,0,0,0,0.0154133,1
AHSA2,0.410598,0,0,0,0,0.0307929,11
COPS7A,0.410588,0,0,0,0,0.0307949,1
PHPT1,0.410584,0,0,0,0,0.0307956,0
DYNC1LI1,0.410484,0,0,0,0,0.030816,9
TRAF3IP2,0.410422,0,0,0,0,0.0308287,0
MRPL13,0.410414,0,0,0,1,0.0334161,0
MTBP,0.410414,0,0,0,1,0.0334161,1
CFHR2,0.41038,1.79317,0,0,0,0,0
GBP1,0.41038,1.79317,0,0,0,0,5
GCA,0.41022,0,0,0,0,0.0308701,0
MCCC2,0.410103,0,0,0,0,0.0308939,0
SLC2A3,0.4101,0,0,0,0,0.0308944,25
FBXO21,0.41003,0,0,0,0,0.0309088,0
SCGB3A1,0.409911,0,0,0,0,0.0309333,0
CYB5D2,0.409783,0,0,0,0,0.0309593,0
FANCM,0.409758,0.399027,0,0,0,0.0241025,17
CHPF,0.409729,0,0,0,0,0.0309702,1
ATP5G1,0.409648,0,0,0,0,0.030987,0
ARMC2,0.409543,0,0,0,0,0.0310084,0
IL4R,0.409384,0,0,0,0,0.0310408,5
GADD45A,0.409286,0,0,0,0,0.0310611,1
ANGPTL4,0.409224,0,0,0,1,0.0336592,0
KLHL26,0.40903,0,0,0,1,0.0336989,1
BCHE,0.408992,1.80967,0,0,0,0,1
ARL10,0.408951,0,0,0,0,0.0311294,1
CHID1,0.408847,0,0,0,0,0.0311507,0
ODF3B,0.408816,0,0,0,1,0.0337425,3
ABHD2,0.408766,0,0,0,0,0.0311672,0
MRPS21,0.408705,0,0,0,0,0.0311795,8
TTC26,0.408702,0.866461,0,0,1,0.0188655,1
GZF1,0.40864,0,32,1,0,0.468184,2
KNDC1,0.408517,0,0,0,0,0.0312179,1
FXYD5,0.408488,0,0,0,1,0.0338097,0
TRUB1,0.408361,0,0,0,0,0.0312499,20
ATP6V0E1,0.408273,0,0,0,0,0.0312681,29
PYGO2,0.408234,0.90309,0,0,0,0.0157456,0
AGL,0.408186,0,0,0,0,0.0312857,0
DBN1,0.408149,0,0,0,0,0.0312934,13
NUDT16,0.408134,0,0,0,0,0.0312964,1
TFPT,0.408115,0,0,0,1,0.0338857,9
RPL11,0.408042,0,0,0,0,0.0313152,8
INTS4,0.408009,0,0,0,0,0.0313219,0
FBXL8,0.407993,0,0,0,0,0.0313252,0
TRADD,0.407993,0,0,0,0,0.0313252,0
EPHB3,0.407976,0,0,0,0,0.0313285,0
ETF1,0.407969,0.9914,0,0,0,0.014281,18
NPPC,0.407926,0,0,0,0,0.0313391,0
RBPMS,0.407917,0,0,0,1,0.0339262,0
BOC,0.407882,0,0,0,0,0.0313479,1
AP4B1,0.407863,0,0,0,0,0.031352,4
DCLRE1B,0.407863,0,0,0,0,0.031352,6
BOD1,0.407832,0,0,0,0,0.0313581,0
SAMD14,0.407802,0,0,0,0,0.0313642,0
FARP2,0.407554,0,0,0,0,0.031415,0
CADM2,0.407549,1.82681,0,0,0,0,0
EIF5A,0.407545,0,0,0,0,0.0314169,0
TM9SF3,0.4074,0,0,0,0,0.0314462,0
MMP16,0.407396,0,0,0,1,0.0340328,0
ANKRD34A,0.407344,0,0,0,0,0.0314578,4
POLR3GL,0.407344,0,0,0,0,0.0314578,7
LOC153684,0.407312,0,0,0,0,0.0314645,0
CLIC4,0.407309,0,0,0,0,0.0314649,0
FAM47A,0.407304,1.82974,0,0,0,0,0
PIAS1,0.407233,0,0,0,0,0.0314806,1
DAB2IP,0.407118,0,0,0,0,0.0315041,0
TMEM168,0.407011,0,0,0,1,0.0341114,1
CD6,0.406954,0,0,0,0,0.0315377,0
SUMF2,0.406898,0,0,0,1,0.0341348,4
PLEKHO1,0.40685,0,0,0,0,0.031559,9
NDUFB2,0.406846,0,0,0,1,0.0341453,1
B4GALT7,0.406823,0,0,0,0,0.0315643,0
TES,0.406791,0,0,0,1,0.0341565,0
ST6GAL1,0.406721,0,0,0,0,0.0315853,9
STXBP1,0.406597,0,0,0,0,0.0316105,1
NSL1,0.406594,0,0,0,0,0.031611,0
TATDN3,0.406594,0,0,0,0,0.031611,0
CEP72,0.406385,0,0,0,0,0.031654,0
ACPL2,0.406252,0.759451,0,0,0,0.0186207,0
PLEKHF2,0.406153,0,0,0,1,0.034287,1
OSTC,0.406143,0,0,0,0,0.0317032,1
ADO,0.405984,0,0,0,0,0.0317358,0
CCNL1,0.405983,0,0,0,0,0.0317361,0
ATRN,0.405976,0,0,0,0,0.0317375,0
WAPAL,0.4059,0.696804,0,0,0,0.0197701,0
NFKBIE,0.405853,0,32,1,0,0.468753,30
FBXO38,0.405803,0,0,0,0,0.0317727,0
RANBP2,0.405782,0,0,0,0,0.031777,4
LRP12,0.405739,0,0,0,1,0.0343716,6
C16orf70,0.405675,0,0,0,0,0.031799,2
RAI14,0.405639,0,0,0,0,0.0318064,0
EMILIN2,0.40563,0,0,0,0,0.0318082,12
GM2A,0.405594,0,0,0,0,0.0318157,13
DCPS,0.405574,0,0,0,0,0.0318197,2
SRD5A3,0.40556,0,0,0,0,0.0318223,0
ENC1,0.405293,0.935542,0,0,0,0.0157885,1
PCDHB11,0.405273,1.85387,0,0,0,0,0
TMEM47,0.405273,1.85387,0,0,0,0,0
TLE4,0.405233,0,0,0,0,0.0318893,0
GLRX5,0.405227,0,0,0,0,0.0318904,0
SNHG10,0.405227,0,0,0,0,0.0318904,17
ARHGDIA,0.405195,0,0,0,0,0.0318971,4
XRCC1,0.40515,0,0,0,1,0.0344919,0
KLHL32,0.405088,0,0,0,0,0.0319191,0
COMMD4,0.404966,0,0,0,0,0.0319439,0
EIF3A,0.404932,0,0,0,0,0.031951,0
ENKUR,0.404918,0,0,0,0,0.0319536,0
THNSL1,0.404918,0,0,0,0,0.0319536,26
CPT1A,0.404863,0,0,0,0,0.031965,10
PARD6G,0.404754,0,0,0,0,0.0319872,0
SERF2,0.404736,0,0,0,0,0.0319909,0
AP1M1,0.404607,1.03953,0,0,1,0.016726,0
CCT8,0.404588,0,0,0,0,0.0320213,1
IGF1R,0.404587,0,0,0,0,0.0320214,1
EMP1,0.404577,0,0,0,0,0.0320235,30
ENTPD7,0.404251,0,0,0,0,0.03209,0
MRPL45,0.404186,0,0,0,0,0.0321034,17
ADAMTS2,0.404185,0,0,0,0,0.0321036,0
PCK2,0.404087,0,0,0,0,0.0321238,7
LNPEP,0.404074,0,0,0,0,0.0321263,0
C9orf40,0.403564,0,0,0,0,0.0322306,2
CLSPN,0.403549,0,0,0,0,0.0322335,0
PSMB9,0.403522,0,0,0,0,0.0322391,0
TNPO1,0.403485,0,0,0,0,0.0322465,6
ARAP1,0.403481,0,0,0,0,0.0322475,6
MSH6,0.403477,0,0,0,0,0.0322482,6
PIK3R3,0.403365,0,0,0,0,0.0322712,6
CD2AP,0.403266,0,0,0,0,0.0322914,0
SLC38A6,0.403223,0.882729,0,0,0,0.0171198,34
TSPO,0.403214,0,0,0,0,0.0323021,1
IPO4,0.403207,0,0,0,0,0.0323034,0
MTO1,0.40311,0,0,0,0,0.0323232,10
C16orf48,0.403061,0,0,0,0,0.0323333,0
C16orf86,0.403061,0,0,0,0,0.0323333,0
IFI27L2,0.402907,0,0,0,0,0.0323649,1
SERPINE2,0.40288,0,0,0,0,0.0323704,0
USP31,0.402869,0,0,0,0,0.0323725,2
PADI2,0.402588,0,0,0,0,0.0324302,0
ABCA17P,0.402491,0,0,0,0,0.0324499,0
ABCA3,0.402491,0,0,0,0,0.0324499,0
ADRA2A,0.402482,0,0,0,0,0.0324515,0
LMBRD2,0.402436,0,0,0,0,0.032461,0
CTNS,0.402397,0,0,0,0,0.0324692,0
SHPK,0.402397,0,0,0,0,0.0324692,0
CDON,0.402283,1.88941,0,0,0,0,0
WDR6,0.402148,0,0,0,0,0.03252,5
MLF2,0.402145,0,0,0,0,0.0325205,0
SPG21,0.4021,0,0,0,0,0.0325297,5
CLCN2,0.401984,0,0,0,0,0.0325535,0
LENG8,0.401971,0,0,0,1,0.0351418,0
GALK2,0.40196,0,0,0,0,0.0325584,0
NDUFA12,0.40193,0,0,0,0,0.0325644,0
SORL1,0.401904,0,0,0,0,0.0325698,0
PLEKHF1,0.401766,0,0,0,1,0.0351836,0
S1PR4,0.401706,0,0,0,1,0.035196,3
LAPTM4B,0.4017,0,0,0,1,0.0351973,10
EDEM1,0.401658,0,0,0,0,0.0326202,0
C7orf23,0.401575,0,0,0,0,0.0326369,14
SH3YL1,0.401561,0,0,0,0,0.0326401,17
UBE2T,0.401526,0,0,0,0,0.0326471,0
TFRC,0.401465,0,0,0,0,0.0326593,0
NIPSNAP1,0.401429,0.935542,0,0,0,0.0165783,0
LNP1,0.401302,0,0,0,0,0.0326929,0
TOMM70A,0.401302,0,0,0,0,0.0326929,5
HAS3,0.401276,0,0,0,0,0.0326981,0
HSD17B12,0.401249,0,0,0,0,0.0327038,0
METTL3,0.401132,1.90309,0,0,0,0,15
GOLGA2,0.400662,0,0,0,0,0.0328237,0
GOLGB1,0.400524,0,0,0,0,0.0328519,1
FA2H,0.400514,0,0,0,0,0.0328539,0
C22orf13,0.4005,0,0,0,0,0.0328568,0
ATP13A2,0.400307,0,0,0,0,0.0328962,0
ANKRD26,0.400272,0.688246,0,0,0,0.0210678,0
PPP1R11,0.400111,0,0,0,0,0.0329362,1
HSPBAP1,0.400101,0,0,0,0,0.0329381,0
SFXN2,0.400099,0,0,0,0,0.0329388,27
NEGR1,0.400079,0,0,0,0,0.0329427,7
ARHGEF2,0.400065,0,0,0,0,0.0329456,0
MRPL53,0.400017,0,0,0,0,0.0329555,0
C11orf21,0.40001,0,0,0,0,0.0329569,0
TSPAN32,0.40001,0,0,0,0,0.0329569,25
CDK12,0.399989,0,0,0,0,0.0329614,9
RPL13,0.399934,0,0,0,0,0.0329725,6
CCT6B,0.399858,0,0,0,0,0.0329878,5
SPATA20,0.399738,0,0,0,0,0.0330128,1
AGPAT9,0.399728,0,0,0,0,0.0330148,2
EIF4E2,0.399687,0,0,0,0,0.033023,15
TIGD1,0.399687,0,0,0,0,0.033023,26
C1orf228,0.399658,0,0,0,0,0.0330291,31
TMEM53,0.399658,0,0,0,0,0.0330291,0
ELP4,0.399639,0,0,0,0,0.0330328,0
IMMP1L,0.399639,0,0,0,0,0.0330328,6
ARL4C,0.399587,0,0,0,0,0.0330435,20
KCTD7,0.39958,0,0,0,1,0.0356304,28
FAM178A,0.399396,0,0,0,0,0.0330823,0
MRPS23,0.399306,0,0,0,0,0.0331008,1
TMEM66,0.39929,0,0,0,1,0.0356899,0
FAM149B1,0.399221,0,0,0,0,0.0331183,5
DYRK3,0.399205,0,0,0,0,0.0331214,0
XYLT1,0.399191,0,0,0,0,0.0331244,1
TENC1,0.399044,0,0,0,0,0.0331544,0
C15orf60,0.399027,1.92812,0,0,0,0,0
C22orf32,0.39901,0,0,0,0,0.0331613,0
FAM171A1,0.398886,0.686133,0,0,0,0.0213873,0
TMEM173,0.398742,0,0,0,0,0.0332163,1
PTRH2,0.398732,0,0,0,0,0.0332181,0
PIGL,0.398596,0,0,0,0,0.0332459,0
PLXDC2,0.398483,0,0,0,0,0.0332689,23
PFKFB2,0.398393,0,0,0,0,0.0332875,0
FANCD2,0.398292,0,0,0,0,0.033308,0
NDRG4,0.398254,0,0,0,0,0.0333159,0
CA11,0.398226,0,0,0,1,0.0359073,0
FGFBP3,0.398183,0,0,0,0,0.0333306,1
SESN3,0.397996,0,0,0,0,0.0333687,0
SH2B3,0.397951,0.832683,0,0,0,0.0190579,18
PSMD6,0.397848,0,0,0,0,0.0333987,0
R3HDM1,0.397741,1.24109,0,0,0,0.0120778,36
TOR1AIP2,0.397706,0,0,0,0,0.0334278,0
IGSF3,0.397657,0,0,0,0,0.0334378,0
SMEK1,0.397608,0.798603,0,0,0,0.0197146,2
GLS,0.397555,0,0,0,0,0.0334589,0
TTL,0.397552,0,0,0,0,0.0334594,3
MFGE8,0.397496,0,0,0,0,0.0334708,0
COX18,0.397475,0,0,0,0,0.0334752,1
SON,0.397366,0.896196,0,0,0,0.0180857,0
SPATA2L,0.397331,0,0,0,0,0.0335045,0
CCDC40,0.397274,0,0,0,0,0.0335163,0
TBC1D16,0.397274,0,0,0,0,0.0335163,0
ACO1,0.397246,0,0,0,0,0.0335221,0
HSD17B1,0.39712,1.95078,0,0,0,0,0
IMPAD1,0.397118,0,0,0,1,0.0361336,1
NXPH4,0.397046,0,0,0,0,0.0335629,0
MOAP1,0.396821,0,0,0,0,0.0336088,7
TDRD7,0.396736,0,0,0,0,0.0336263,3
KIF15,0.396727,0,0,0,0,0.0336281,0
EFHA1,0.396685,0,0,0,0,0.0336366,0
ERP44,0.396458,0,0,0,0,0.033683,0
INVS,0.396458,0,0,0,0,0.033683,0
CCDC23,0.396432,0,0,0,0,0.0336884,0
ERMAP,0.396432,0,0,0,0,0.0336884,0
GOSR2,0.396417,0,0,0,0,0.0336915,0
VCP,0.396283,0,0,0,0,0.0337187,0
APOC1,0.396188,0,0,0,1,0.0363239,0
GPRIN1,0.396153,0,0,0,0,0.0337454,0
MCM10,0.396128,1.96257,0,0,0,0,0
SC5DL,0.396022,0,0,0,0,0.033772,0
CANX,0.395957,0,0,0,0,0.0337854,0
CORO1C,0.395877,0,0,0,0,0.0338018,26
MYL6B,0.395414,0,0,0,0,0.0338965,1
H2AFZ,0.395293,0,0,0,0,0.0339212,1
NDUFB8,0.395154,0,0,0,0,0.0339496,0
1-Sep,0.395099,0,0,0,0,0.0339608,5
GABBR1,0.395077,0.90309,0,0,0,0.0184348,0
RECK,0.395064,0,0,0,0,0.033968,12
MRPL18,0.395039,0,0,0,0,0.0339731,0
HMBS,0.395009,0,0,0,0,0.0339792,0
HIST1H2AK,0.394851,0,0,0,0,0.0340116,0
ANKIB1,0.394681,0,0,0,1,0.0366319,2
KRIT1,0.394681,0,0,0,1,0.0366319,18
KIAA1683,0.394577,2.13136,0,0,1,0,3
CARS2,0.394537,0,0,0,0,0.0340756,2
RFK,0.39436,0,0,0,0,0.0341118,0
PRIM2,0.39432,0,0,0,0,0.0341202,4
PPA2,0.39413,0,0,0,0,0.0341589,0
B4GALNT1,0.394019,0,0,0,0,0.0341815,0
TMEM50B,0.393998,0,0,0,0,0.034186,3
FECH,0.393918,0,0,0,0,0.0342021,2
TAOK3,0.3938,0,0,0,0,0.0342263,16
SNX16,0.393768,0,0,0,1,0.0368187,0
CST3,0.393624,0,0,0,0,0.0342623,11
GABARAPL1,0.393619,0,0,0,0,0.0342635,0
VLDLR,0.393598,0.737549,0,0,0,0.0215841,0
COX15,0.393596,0,0,0,0,0.034268,9
CUTC,0.393596,0,0,0,0,0.034268,17
UBA5,0.393524,0,0,0,0,0.0342826,0
OSBPL9,0.393464,0,0,0,0,0.034295,21
OCIAD2,0.393442,0,0,0,0,0.0342994,11
RND1,0.393287,0,0,0,0,0.0343312,0
C19orf59,0.393173,0,0,0,1,0.03694,0
OSBPL6,0.393147,0,0,0,0,0.0343599,1
C6orf211,0.392932,0,0,0,0,0.0344039,29
RMND1,0.392932,0,0,0,0,0.0344039,13
ME3,0.392898,0,0,0,0,0.0344107,3
ABHD1,0.392877,0,0,0,0,0.0344151,0
C9orf85,0.392819,0,0,0,0,0.0344268,6
FAM108B1,0.392819,0,0,0,0,0.0344268,25
CCDC65,0.392718,0,0,0,0,0.0344474,1
HIBCH,0.392583,0,0,0,0,0.0344749,0
DDIT4,0.392575,0,0,0,0,0.0344766,0
LAMC1,0.392566,0,0,0,0,0.0344784,0
TGFA,0.392276,0,0,0,0,0.0345378,0
ALKBH4,0.392156,0,0,0,1,0.0371478,0
SLC3A2,0.392005,0,0,0,0,0.0345934,1
SNHG1,0.392005,0,0,0,0,0.0345934,30
CNNM3,0.391982,0,0,0,0,0.0345979,0
UBXN8,0.391954,0,0,0,1,0.0371891,0
LETM2,0.391905,0,0,0,1,0.0371992,0
C10orf55,0.391837,0,0,0,0,0.0346274,0
PLAU,0.391837,0,0,0,0,0.0346274,5
HELB,0.391715,0,0,0,0,0.0346526,0
TTC5,0.391673,0,0,0,0,0.034661,2
NUPL2,0.391653,0,0,0,1,0.0372508,10
RASGRP1,0.391625,0,0,0,0,0.0346708,0
RASGRP2,0.391533,0,0,0,0,0.0346898,22
KLHDC1,0.391521,0,0,0,0,0.0346921,3
C1orf63,0.391306,0,0,0,0,0.0347361,5
DSE,0.391298,0,0,0,0,0.0347378,4
MFSD9,0.391198,0,0,0,0,0.0347582,0
CA2,0.391031,0,0,0,1,0.037378,1
ALKBH6,0.39101,0,0,0,1,0.0373822,0
GALNT2,0.390985,0.853872,0,0,0,0.0201176,1
KLHL25,0.39094,0,0,0,0,0.034811,1
TMEM126A,0.39094,0,0,0,0,0.0348108,0
ACYP2,0.390854,0,0,0,0,0.0348284,0
PAICS,0.39069,0,0,0,0,0.0348621,5
PPAT,0.39069,0,0,0,0,0.0348621,16
CUL1,0.390662,0.79588,0,0,1,0.0237663,0
DCAF8,0.390646,0.425969,0,0,0,0.0275457,0
ASPH,0.390627,0,0,0,1,0.0374607,0
ACSL1,0.390579,0,0,0,0,0.0348847,19
APBA1,0.390577,0,0,0,0,0.0348849,0
PSME3,0.390556,0,0,0,0,0.0348893,1
TPD52L1,0.390424,0,0,0,0,0.0349163,1
TSPYL1,0.390392,0,0,0,0,0.0349228,8
TMEM135,0.390275,0,0,0,0,0.0349468,1
RNGTT,0.390044,0,0,0,0,0.0349941,2
DAZAP1,0.390017,0,0,0,1,0.0375852,3
EPS8,0.389861,0,0,0,0,0.0350314,0
MDH1,0.389834,0,0,0,0,0.0350368,8
EIF1B,0.38982,0,0,0,0,0.0350397,1
DCAF10,0.389756,0,0,0,0,0.0350531,31
RNFT1,0.389424,0,0,0,0,0.0351208,0
LRP1,0.38941,0,0,0,0,0.0351235,35
OAS1,0.38927,0,0,0,0,0.0351523,4
FAHD1,0.389055,0,0,0,0,0.0351964,0
HAGH,0.389055,0,0,0,0,0.0351964,4
IL17RA,0.389048,0,0,0,0,0.0351978,0
MYD88,0.388941,0,0,0,0,0.0352196,13
CEP290,0.388851,1.03292,0,0,0,0.0174749,25
KCTD3,0.388774,0,0,0,0,0.0352538,20
HS3ST3B1,0.388528,0,0,0,0,0.035304,0
PGAP3,0.388515,0,0,0,0,0.0353066,3
TMEM106B,0.388314,0,0,0,1,0.0379332,22
SPARC,0.38826,0,0,0,0,0.0353587,0
SERPINE1,0.388196,0,0,0,1,0.0379574,31
LIF,0.388164,0,1,1,0,0.105722,0
HEBP2,0.388111,0,0,0,0,0.0353892,0
PRR16,0.387955,0,0,0,0,0.0354212,1
WDR54,0.387952,0,0,0,0,0.0354216,2
PPT1,0.387882,0,0,0,0,0.035436,6
HPSE,0.387768,0,0,0,0,0.0354594,9
LY6E,0.387716,0,0,0,1,0.0380555,4
DLAT,0.387688,0,0,0,0,0.0354755,0
C14orf102,0.387601,0,0,0,0,0.0354935,0
PLA2G16,0.387502,0,0,0,0,0.0355135,9
SPTLC2,0.387296,0.812479,0,0,0,0.0215834,3
TCTA,0.387132,0,0,0,0,0.0355893,0
CMTM3,0.387028,0,0,0,0,0.0356107,2
DCTN4,0.386969,0,0,0,0,0.0356228,1
GFRA3,0.386942,0,0,0,0,0.0356281,0
OAZ2,0.386726,0,0,0,0,0.0356723,30
ADAMTS10,0.386674,0,0,0,1,0.0382686,0
THBS3,0.386654,0,0,0,0,0.0356871,0
HMGCS1,0.386447,0,0,0,0,0.0357291,0
MRPL52,0.386204,0,0,0,0,0.0357788,0
STAMBPL1,0.386138,0,0,0,0,0.0357924,0
STXBP3,0.385835,0,0,0,0,0.0358543,1
COBLL1,0.385813,0,0,0,0,0.0358588,0
NTHL1,0.385791,0,0,0,0,0.0358632,1
REV3L,0.38573,0,0,0,0,0.0358758,0
USP24,0.385683,2.08672,0,0,0,0,2
DLST,0.385682,0,0,0,0,0.0358858,0
KLHL12,0.385663,1.29671,0,0,0,0.01359,0
PTPN7,0.385652,0,0,0,0,0.0358918,1
DCAF13,0.385633,0,0,0,1,0.0384814,2
SLC25A32,0.385633,0,0,0,1,0.0384814,0
MSRA,0.385627,0,0,0,1,0.0384825,0
NETO2,0.385614,0,0,0,0,0.0358995,1
C17orf100,0.385613,0,0,0,0,0.0358999,0
MED31,0.385613,0,0,0,0,0.0358999,0
NDUFA4,0.385607,0,0,0,1,0.0384865,0
DTWD1,0.385577,0,0,0,0,0.0359073,14
BRMS1,0.385505,2.08884,0,0,0,0,3
C1orf27,0.385487,0,0,0,0,0.0359256,1
FADS3,0.385411,0,0,0,0,0.035941,4
HOXC6,0.385091,0,1,1,0,0.106349,0
PRMT10,0.384984,0,0,0,0,0.0360283,17
SNX20,0.384902,0,0,0,0,0.036045,0
GPAA1,0.384836,0,0,0,1,0.038644,0
SLC45A3,0.384795,0,0,0,0,0.0360668,2
CLTCL1,0.384665,0,0,0,0,0.0360936,0
HECTD2,0.384637,0,0,0,0,0.0360994,0
LRMP,0.384572,0,0,0,0,0.0361126,10
PPP1R13L,0.384411,0,0,1,1,0.0972468,0
PLK2,0.384342,0,0,0,0,0.0361597,0
PICK1,0.384186,0,0,0,0,0.0361913,0
MRPS30,0.384113,0,0,0,0,0.0362065,4
TMEM92,0.384097,0,0,0,0,0.0362095,0
KPNA5,0.384083,0,0,0,0,0.0362125,0
SHC1,0.384033,0,0,0,0,0.0362227,0
PLXND1,0.383896,1.44733,0,0,0,0.0113608,0
PAFAH1B3,0.383784,0,0,0,1,0.0388593,0
PRR19,0.383784,0,0,0,1,0.0388593,0
MAN2B1,0.38369,0,0,0,1,0.0388785,29
ST3GAL4,0.38366,0,0,0,0,0.0362989,16
SRGN,0.383572,0,0,0,0,0.0363168,1
